Designator,Mid X,Mid Y,Layer,Rotation
C1,69.50,22.00,Top,90.0
C2,65.00,25.50,Top,180.0
C3,60.50,23.50,Top,180.0
C4,60.50,20.50,Top,270.0
C5,60.50,16.50,Top,90.0
C6,52.00,22.00,Top,90.0
C7,47.00,25.50,Top,180.0
C8,42.50,23.50,Top,180.0
C9,42.50,20.50,Top,270.0
C10,42.52,16.68,Top,90.0
C11,33.50,22.00,Top,90.0
C12,29.00,25.50,Top,180.0
C13,24.50,23.50,Top,180.0
C14,24.50,20.50,Top,270.0
C15,24.50,16.50,Top,90.0
C16,15.50,22.00,Top,90.0
C17,11.00,25.50,Top,180.0
C18, 6.50,23.50,Top,180.0
C19, 6.50,20.50,Top,270.0
C20, 6.50,16.50,Top,90.0
D1,61.50,11.50,Top,0.0
D2,63.50, 7.50,Top,90.0
D3,67.00, 7.50,Top,90.0
D4,43.00,11.50,Top,0.0
D5,45.50, 7.50,Top,90.0
D6,49.00, 7.50,Top,90.0
D7,24.98,11.16,Top,0.0
D8,27.50, 7.50,Top,90.0
D9,31.00, 7.50,Top,90.0
D10, 7.50,11.50,Top,0.0
D11, 9.50, 7.50,Top,90.0
D12,13.00, 7.50,Top,90.0
R1,69.50,25.50,Top,180.0
R2,60.50,25.50,Top,0.0
R3,69.00, 7.50,Top,270.0
R4,61.50, 7.50,Top,270.0
R5,61.88,13.44,Top,180.0
R6,52.00,25.50,Top,180.0
R7,42.50,25.50,Top,0.0
R8,51.00, 7.50,Top,270.0
R9,43.00, 7.50,Top,270.0
R10,43.50,13.50,Top,180.0
R11,33.50,25.50,Top,180.0
R12,24.50,25.50,Top,0.0
R13,33.00, 7.50,Top,270.0
R14,25.00, 7.50,Top,270.0
R15,25.52,13.30,Top,180.0
R16,15.50,25.50,Top,180.0
R17, 6.50,25.50,Top,0.0
R18,15.00, 7.50,Top,270.0
R19, 7.50, 7.50,Top,270.0
R20, 7.50,13.50,Top,180.0
U1,47.00,18.50,Top,180.0
U2,65.00,18.50,Top,180.0
U3,29.00,18.50,Top,180.0
U4,11.00,18.50,Top,180.0
